old_site_id,old_store_code,old_latitude,old_longitude,new_site_id,new_store_code,new_status,match_type,distance_km,confidence,review_flag
ben_003,ben_003_wh_hl_01,12.837683,77.660964,Site_003_B,bengaluruelectronics_city,Live,nearest_coord,0.280,high,
ben_007,ben_007_wh_hl_01,12.898186,77.633753,Site_007_B,bengalurubommanhalli,Live,nearest_coord,0.863,medium,
ben_010,ben_010_wh_hl_01,12.895192,77.586411,Site_010_B,bengalurujp_nagar,Live,nearest_coord,0.695,medium,
ben_013,ben_013_wh_hl_01,12.904091,77.650564,Site_013_B,bengaluruhsr,Live,nearest_coord,0.581,medium,
ben_016,ben_016_wh_hl_01,12.939125,77.728906,Site_016_B,bengalurugunjur,Live,nearest_coord,0.182,high,
ben_017,ben_017_wh_hl_01,12.932980,77.631350,Site_017_B,bengalurukormangala,Live,nearest_coord,1.229,low,
ben_018,ben_018_wh_hl_01,12.926968,77.547351,Site_018_B,bengalurubanashankari,Live,nearest_coord,0.328,high,
ben_024,ben_024_wh_hl_01,12.959737,77.715338,Site_024_B,bengalurukundanahalli_gate,Live,nearest_coord,0.265,high,
ben_026,ben_026_wh_hl_01,13.028684,77.762288,Site_026_B,bengalurukadugodi,Live,nearest_coord,0.604,medium,
ben_027,ben_027_wh_hl_01,12.975807,77.547878,Site_027_B,bengaluruvijaynagar,Live,nearest_coord,0.147,high,
ben_029,ben_029_wh_hl_01,12.980587,77.749992,Site_029_B,bengaluruwhitefield,Live,nearest_coord,0.429,high,
ben_031,ben_031_wh_hl_01,12.956973,77.662455,Site_031_B,bengaluruindiranagar,Live,nearest_coord,0.420,high,
ben_034,ben_034_wh_hl_01,12.989829,77.705871,Site_034_B,bengaluruhoodi,Live,nearest_coord,0.959,medium,
ben_036,ben_036_wh_hl_01,12.991314,77.574789,Site_036_B,bengaluruseshadripuram,Live,nearest_coord,0.514,medium,
ben_039,ben_039_wh_hl_01,13.026532,77.718403,Site_039_B,bengalurukr_puram,Live,nearest_coord,1.101,low,
ben_040,ben_040_wh_hl_01,13.021111,77.522778,Site_040_B,bengalurupeenya,Live,nearest_coord,0.422,high,
ben_042,ben_042_wh_hl_01,13.035275,77.606378,Ben_256,bengaluruhebbal,Live,nearest_coord,1.141,low,
ben_043,ben_043_wh_hl_01,13.018080,77.658973,Ben_905,bengalurubanaswadi_-_new,4.Site Rejected,nearest_coord,0.420,review,manual_review
ben_050,ben_050_wh_hl_01,13.068843,77.647220,Site_050_B,bengaluruhennur_bagalur,Live,nearest_coord,1.143,low,
ben_054,ben_054_wh_hl_01,13.107930,77.579230,Site_054_B,bengaluruyelahanka,Live,nearest_coord,1.299,low,
ben_055,ben_055_wh_hl_01,12.878340,77.607494,Site_055_B,bengalurubannerghata,Live,nearest_coord,0.329,high,
ben_056,ben_056_wh_hl_01,12.920680,77.666770,Site_056_B,bengalurusarjapur_2,Live,nearest_coord,0.630,medium,
ben_057,ben_057_wh_hl_01,12.928660,77.703360,Site_057_B,bengaluruapr_-_bangalore,Live,nearest_coord,0.846,medium,
